                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.60529,                0.82039,                 1.1714,                0.88688,                0.41667,                0.69557,                0.43234,                 1.8572,                 1.7466,                 1.5428,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.84107,                0.99683,                 1.2907,                0.88072,                0.41667,                0.69876,                0.40691,                 1.8411,                 1.7389,                 1.5278,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.72113,                 1.0518,                 1.0728,                0.88072,                0.41667,                0.69876,                0.40691,                 1.8411,                 1.7389,                 1.5278,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1824,                 2.1115,                 1.6874,                0.88072,                0.41667,                0.69876,                0.40691,                 1.8411,                 1.7389,                 1.5278,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0501,                 1.9193,                 1.3945,                0.87475,                0.41667,                0.69927,                0.40765,                 1.8328,                 1.7526,                 1.5186,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.0901,                 1.8181,                 1.4695,                0.87475,                0.41667,                0.69927,                0.40765,                 1.8328,                 1.7526,                 1.5186,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 0.9526,                0.96413,                 1.3114,                0.87475,                0.41667,                0.69927,                0.40765,                 1.8328,                 1.7526,                 1.5186,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.1355,                 1.1277,                 1.5936,                0.87275,                0.41667,                 0.6985,                0.40817,                 1.8244,                 1.7629,                 1.5144,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.75643,                0.91661,                 1.1548,                0.87275,                0.41667,                 0.6985,                0.40817,                 1.8244,                 1.7629,                 1.5144,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 0.8607,                 1.1773,                  1.172,                0.87275,                0.41667,                 0.6985,                0.40817,                 1.8244,                 1.7629,                 1.5144,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.81606,                 1.1254,                 1.2316,                0.87031,                0.41667,                0.68592,                0.39352,                 1.8134,                 1.7823,                  1.509,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 0.7628,                0.76014,                 1.2005,                0.87031,                0.41667,                0.68592,                0.39352,                 1.8134,                 1.7823,                  1.509,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.73623,                0.93851,                 1.3003,                0.87031,                0.41667,                0.68592,                0.39352,                 1.8134,                 1.7823,                  1.509,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.75513,                 1.2679,                 1.1512,                0.87056,                0.41667,                0.68793,                0.39241,                 1.8129,                  1.796,                 1.5103,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                  0.847,                 1.2275,                 1.1985,                0.87056,                0.41667,                0.68793,                0.39241,                 1.8129,                  1.796,                 1.5103,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.1799,                 2.1835,                 1.5898,                0.87056,                0.41667,                0.68793,                0.39241,                 1.8129,                  1.796,                 1.5103,             2.6845e-05,             2.6845e-05,             2.6845e-05
